chapter,session,section,title,lecture,homework
1,1,1.1,"Definitions, Classification, and Solutions",Chapter_01_Introduction_to_Differential_Equations/Lecture/Session_01_Section_1_1_Definitions_Classification_Solutions.ipynb,Chapter_01_Introduction_to_Differential_Equations/Homework/Homework_01_Section_1_1.ipynb
1,2,1.2,"Initial-Value Problems, Existence, and Uniqueness",Chapter_01_Introduction_to_Differential_Equations/Lecture/Session_02_Section_1_2_IVP_Existence_Uniqueness.ipynb,Chapter_01_Introduction_to_Differential_Equations/Homework/Homework_02_Section_1_2.ipynb
1,3,1.3,Differential Equations as Mathematical Models,Chapter_01_Introduction_to_Differential_Equations/Lecture/Session_03_Section_1_3_Mathematical_Models.ipynb,Chapter_01_Introduction_to_Differential_Equations/Homework/Homework_03_Section_1_3.ipynb
2,4,2.1,Solution Curves Without Solving the Equation,Chapter_02_First_Order_Differential_Equations/Lecture/Session_04_Section_2_1_Qualitative_Solutions.ipynb,Chapter_02_First_Order_Differential_Equations/Homework/Homework_04_Section_2_1.ipynb
2,5,2.2,Separable Equations,Chapter_02_First_Order_Differential_Equations/Lecture/Session_05_Section_2_2_Separable_Equations.ipynb,Chapter_02_First_Order_Differential_Equations/Homework/Homework_05_Section_2_2.ipynb
2,6,2.3,Linear First-Order Equations,Chapter_02_First_Order_Differential_Equations/Lecture/Session_06_Section_2_3_Linear_Equations.ipynb,Chapter_02_First_Order_Differential_Equations/Homework/Homework_06_Section_2_3.ipynb
2,7,2.4,Exact Equations,Chapter_02_First_Order_Differential_Equations/Lecture/Session_07_Section_2_4_Exact_Equations.ipynb,Chapter_02_First_Order_Differential_Equations/Homework/Homework_07_Section_2_4.ipynb
2,8,2.5,Solutions by Substitution,Chapter_02_First_Order_Differential_Equations/Lecture/Session_08_Section_2_5_Substitution_Methods.ipynb,Chapter_02_First_Order_Differential_Equations/Homework/Homework_08_Section_2_5.ipynb
2,9,2.6,Euler's Numerical Method,Chapter_02_First_Order_Differential_Equations/Lecture/Session_09_Section_2_6_Eulers_Method.ipynb,Chapter_02_First_Order_Differential_Equations/Homework/Homework_09_Section_2_6.ipynb
3,10,3.1,Linear Models,Chapter_03_Modeling_with_First_Order_Equations/Lecture/Session_10_Section_3_1_Linear_Models.ipynb,Chapter_03_Modeling_with_First_Order_Equations/Homework/Homework_10_Section_3_1.ipynb
3,11,3.2,Nonlinear Models,Chapter_03_Modeling_with_First_Order_Equations/Lecture/Session_11_Section_3_2_Nonlinear_Models.ipynb,Chapter_03_Modeling_with_First_Order_Equations/Homework/Homework_11_Section_3_2.ipynb
3,12,3.3,Modeling with Systems of First-Order Differential Equations,Chapter_03_Modeling_with_First_Order_Equations/Lecture/Session_12_Section_3_3_Systems_Models.ipynb,Chapter_03_Modeling_with_First_Order_Equations/Homework/Homework_12_Section_3_3.ipynb
4,13,4.1,Theory of Linear Equations,Chapter_04_Higher_Order_Differential_Equations/Lecture/Session_13_Section_4_1_Theory_Linear_Equations.ipynb,Chapter_04_Higher_Order_Differential_Equations/Homework/Homework_13_Section_4_1.ipynb
4,14,4.2,Reduction of Order,Chapter_04_Higher_Order_Differential_Equations/Lecture/Session_14_Section_4_2_Reduction_of_Order.ipynb,Chapter_04_Higher_Order_Differential_Equations/Homework/Homework_14_Section_4_2.ipynb
4,15,4.3,Homogeneous Constant-Coefficient Equations,Chapter_04_Higher_Order_Differential_Equations/Lecture/Session_15_Section_4_3_Constant_Coefficients.ipynb,Chapter_04_Higher_Order_Differential_Equations/Homework/Homework_15_Section_4_3.ipynb
4,16,4.4,Undetermined Coefficients — Superposition,Chapter_04_Higher_Order_Differential_Equations/Lecture/Session_16_Section_4_4_Undetermined_Coefficients.ipynb,Chapter_04_Higher_Order_Differential_Equations/Homework/Homework_16_Section_4_4.ipynb
4,17,4.5,Undetermined Coefficients — Annihilator Approach,Chapter_04_Higher_Order_Differential_Equations/Lecture/Session_17_Section_4_5_Annihilator_Approach.ipynb,Chapter_04_Higher_Order_Differential_Equations/Homework/Homework_17_Section_4_5.ipynb
4,18,4.6,Variation of Parameters,Chapter_04_Higher_Order_Differential_Equations/Lecture/Session_18_Section_4_6_Variation_of_Parameters.ipynb,Chapter_04_Higher_Order_Differential_Equations/Homework/Homework_18_Section_4_6.ipynb
4,19,4.7,Cauchy–Euler Equations,Chapter_04_Higher_Order_Differential_Equations/Lecture/Session_19_Section_4_7_Cauchy_Euler.ipynb,Chapter_04_Higher_Order_Differential_Equations/Homework/Homework_19_Section_4_7.ipynb
4,20,4.8,Green’s Functions,Chapter_04_Higher_Order_Differential_Equations/Lecture/Session_20_Section_4_8_Greens_Functions.ipynb,Chapter_04_Higher_Order_Differential_Equations/Homework/Homework_20_Section_4_8.ipynb
4,21,4.9,Systems by Elimination,Chapter_04_Higher_Order_Differential_Equations/Lecture/Session_21_Section_4_9_Elimination_Systems.ipynb,Chapter_04_Higher_Order_Differential_Equations/Homework/Homework_21_Section_4_9.ipynb
4,22,4.10,Nonlinear Higher-Order Equations,Chapter_04_Higher_Order_Differential_Equations/Lecture/Session_22_Section_4_10_Nonlinear_Equations.ipynb,Chapter_04_Higher_Order_Differential_Equations/Homework/Homework_22_Section_4_10.ipynb
5,23,5.1,Linear Models — Initial-Value Problems,Chapter_05_Modeling_with_Higher_Order_Equations/Lecture/Session_23_Section_5_1_Linear_IVP_Models.ipynb,Chapter_05_Modeling_with_Higher_Order_Equations/Homework/Homework_23_Section_5_1.ipynb
5,24,5.2,Linear Models — Boundary-Value Problems,Chapter_05_Modeling_with_Higher_Order_Equations/Lecture/Session_24_Section_5_2_Linear_BVP_Models.ipynb,Chapter_05_Modeling_with_Higher_Order_Equations/Homework/Homework_24_Section_5_2.ipynb
5,25,5.3,Nonlinear Models,Chapter_05_Modeling_with_Higher_Order_Equations/Lecture/Session_25_Section_5_3_Nonlinear_Models.ipynb,Chapter_05_Modeling_with_Higher_Order_Equations/Homework/Homework_25_Section_5_3.ipynb
6,26,6.1,Review of Power Series,Chapter_06_Series_Solutions_of_Linear_Equations/Lecture/Session_26_Section_6_1_Power_Series_Review.ipynb,Chapter_06_Series_Solutions_of_Linear_Equations/Homework/Homework_26_Section_6_1.ipynb
6,27,6.2,Power-Series Solutions About Ordinary Points,Chapter_06_Series_Solutions_of_Linear_Equations/Lecture/Session_27_Section_6_2_Ordinary_Points.ipynb,Chapter_06_Series_Solutions_of_Linear_Equations/Homework/Homework_27_Section_6_2.ipynb
6,28,6.3,Solutions About Singular Points,Chapter_06_Series_Solutions_of_Linear_Equations/Lecture/Session_28_Section_6_3_Singular_Points.ipynb,Chapter_06_Series_Solutions_of_Linear_Equations/Homework/Homework_28_Section_6_3.ipynb
6,29,6.4,Special Functions,Chapter_06_Series_Solutions_of_Linear_Equations/Lecture/Session_29_Section_6_4_Special_Functions.ipynb,Chapter_06_Series_Solutions_of_Linear_Equations/Homework/Homework_29_Section_6_4.ipynb
7,30,7.1,Definition of the Laplace Transform,Chapter_07_The_Laplace_Transform/Lecture/Session_30_Section_7_1_Definition_Laplace.ipynb,Chapter_07_The_Laplace_Transform/Homework/Homework_30_Section_7_1.ipynb
7,31,7.2,Inverse Transforms and Transforms of Derivatives,Chapter_07_The_Laplace_Transform/Lecture/Session_31_Section_7_2_Inverse_and_Derivatives.ipynb,Chapter_07_The_Laplace_Transform/Homework/Homework_31_Section_7_2.ipynb
7,32,7.3,Operational Properties I,Chapter_07_The_Laplace_Transform/Lecture/Session_32_Section_7_3_Operational_Properties_I.ipynb,Chapter_07_The_Laplace_Transform/Homework/Homework_32_Section_7_3.ipynb
7,33,7.4,Operational Properties II,Chapter_07_The_Laplace_Transform/Lecture/Session_33_Section_7_4_Operational_Properties_II.ipynb,Chapter_07_The_Laplace_Transform/Homework/Homework_33_Section_7_4.ipynb
7,34,7.5,The Dirac Delta Function,Chapter_07_The_Laplace_Transform/Lecture/Session_34_Section_7_5_Dirac_Delta.ipynb,Chapter_07_The_Laplace_Transform/Homework/Homework_34_Section_7_5.ipynb
7,35,7.6,Systems of Linear Differential Equations,Chapter_07_The_Laplace_Transform/Lecture/Session_35_Section_7_6_Linear_Systems.ipynb,Chapter_07_The_Laplace_Transform/Homework/Homework_35_Section_7_6.ipynb
8,36,8.1,Theory of Linear Systems,Chapter_08_Systems_of_Linear_Differential_Equations/Lecture/Session_36_Section_8_1_Theory_Linear_Systems.ipynb,Chapter_08_Systems_of_Linear_Differential_Equations/Homework/Homework_36_Section_8_1.ipynb
8,37,8.2,Homogeneous Linear Systems,Chapter_08_Systems_of_Linear_Differential_Equations/Lecture/Session_37_Section_8_2_Homogeneous_Linear_Systems.ipynb,Chapter_08_Systems_of_Linear_Differential_Equations/Homework/Homework_37_Section_8_2.ipynb
8,38,8.3,Nonhomogeneous Linear Systems,Chapter_08_Systems_of_Linear_Differential_Equations/Lecture/Session_38_Section_8_3_Nonhomogeneous_Linear_Systems.ipynb,Chapter_08_Systems_of_Linear_Differential_Equations/Homework/Homework_38_Section_8_3.ipynb
8,39,8.4,Matrix Exponential,Chapter_08_Systems_of_Linear_Differential_Equations/Lecture/Session_39_Section_8_4_Matrix_Exponential.ipynb,Chapter_08_Systems_of_Linear_Differential_Equations/Homework/Homework_39_Section_8_4.ipynb
9,40,9.1,Euler Methods and Error Analysis,Chapter_09_Numerical_Solutions_of_Ordinary_Differential_Equations/Lecture/Session_40_Section_9_1_Euler_Error_Analysis.ipynb,Chapter_09_Numerical_Solutions_of_Ordinary_Differential_Equations/Homework/Homework_40_Section_9_1.ipynb
9,41,9.2,Runge–Kutta Methods,Chapter_09_Numerical_Solutions_of_Ordinary_Differential_Equations/Lecture/Session_41_Section_9_2_Runge_Kutta.ipynb,Chapter_09_Numerical_Solutions_of_Ordinary_Differential_Equations/Homework/Homework_41_Section_9_2.ipynb
9,42,9.3,Multistep Methods,Chapter_09_Numerical_Solutions_of_Ordinary_Differential_Equations/Lecture/Session_42_Section_9_3_Multistep_Methods.ipynb,Chapter_09_Numerical_Solutions_of_Ordinary_Differential_Equations/Homework/Homework_42_Section_9_3.ipynb
9,43,9.4,Higher-Order Equations and Systems,Chapter_09_Numerical_Solutions_of_Ordinary_Differential_Equations/Lecture/Session_43_Section_9_4_Higher_Order_Systems.ipynb,Chapter_09_Numerical_Solutions_of_Ordinary_Differential_Equations/Homework/Homework_43_Section_9_4.ipynb
9,44,9.5,Second-Order Boundary-Value Problems,Chapter_09_Numerical_Solutions_of_Ordinary_Differential_Equations/Lecture/Session_44_Section_9_5_Boundary_Value_Problems.ipynb,Chapter_09_Numerical_Solutions_of_Ordinary_Differential_Equations/Homework/Homework_44_Section_9_5.ipynb
